cell,type
MGH45_P4_C05,nonTumor
MGH45_P4_C11,nonTumor
MGH45_P4_D03,nonTumor
MGH45_P4_D06,nonTumor
MGH45_P4_D11,nonTumor
MGH45_P4_E02,nonTumor
MGH45_P4_E06,nonTumor
MGH45_P4_E07,nonTumor
MGH45_P4_F01,nonTumor
MGH45_P4_F02,nonTumor
MGH45_P4_F03,nonTumor
MGH45_P4_F05,nonTumor
MGH45_P4_F10,nonTumor
MGH45_P4_G01,nonTumor
MGH45_P4_G02,nonTumor
MGH45_P4_G06,nonTumor
MGH45_P4_G07,nonTumor
MGH45_P4_G09,nonTumor
MGH45_P4_H04,nonTumor
MGH45_P5_A01,nonTumor
MGH45_P5_A02,nonTumor
MGH45_P5_A04,nonTumor
MGH45_P5_A06,nonTumor
MGH45_P5_A07,nonTumor
MGH45_P5_A10,nonTumor
MGH45_P5_A12,nonTumor
MGH45_P5_B02,nonTumor
MGH45_P5_B03,nonTumor
MGH45_P5_B08,nonTumor
MGH45_P5_B09,nonTumor
MGH45_P5_B10,nonTumor
MGH45_P5_C01,nonTumor
MGH45_P5_C03,nonTumor
MGH45_P5_C04,nonTumor
MGH45_P5_C05,nonTumor
MGH45_P5_C06,nonTumor
MGH45_P5_C08,nonTumor
MGH45_P5_C10,nonTumor
MGH45_P5_C11,nonTumor
MGH45_P5_D01,nonTumor
MGH45_P5_D02,nonTumor
MGH45_P5_D03,nonTumor
MGH45_P5_D04,nonTumor
MGH45_P5_D05,nonTumor
MGH45_P5_D07,nonTumor
MGH45_P5_D09,nonTumor
MGH45_P5_D10,nonTumor
MGH45_P5_D11,nonTumor
MGH45_P5_D12,nonTumor
MGH45_P5_E01,nonTumor
MGH45_P5_E02,nonTumor
MGH45_P5_E03,nonTumor
MGH45_P5_E04,nonTumor
MGH45_P5_E07,nonTumor
MGH45_P5_E08,nonTumor
MGH45_P5_E10,nonTumor
MGH45_P5_E11,nonTumor
MGH45_P5_E12,nonTumor
MGH45_P5_F01,nonTumor
MGH45_P5_F05,nonTumor
MGH45_P5_F06,nonTumor
MGH45_P5_F10,nonTumor
MGH45_P5_F11,nonTumor
MGH45_P5_G02,nonTumor
MGH45_P5_G03,nonTumor
MGH45_P5_G07,nonTumor
MGH45_P5_G08,nonTumor
MGH45_P5_G09,nonTumor
MGH45_P5_G11,nonTumor
MGH45_P5_G12,nonTumor
MGH45_P5_H01,nonTumor
MGH45_P5_H03,nonTumor
MGH45_P5_H04,nonTumor
MGH45_P5_H05,nonTumor
MGH45_P5_H08,nonTumor
MGH45_P5_H10,nonTumor
MGH45_P5_H11,nonTumor
MGH45_P5_H12,nonTumor
MGH45_P11_B10,nonTumor
MGH45_P11_F05,nonTumor
MGH45_P12_B03,nonTumor
MGH45_P12_E04,nonTumor
MGH45_P12_F06,nonTumor
MGH45_P7_A03,nonTumor
MGH45_P7_A06,nonTumor
MGH45_P7_B04,nonTumor
MGH45_P7_B09,nonTumor
MGH45_P7_B11,nonTumor
MGH45_P7_C11,nonTumor
MGH45_P7_D06,nonTumor
MGH45_P7_D08,nonTumor
MGH45_P7_D09,nonTumor
MGH45_P7_E04,nonTumor
MGH45_P7_E08,nonTumor
MGH45_P7_E12,nonTumor
MGH45_P7_F05,nonTumor
MGH45_P7_F10,nonTumor
MGH45_P7_F12,nonTumor
MGH45_P7_G03,nonTumor
MGH45_P7_G05,nonTumor
MGH45_P7_G10,nonTumor
MGH45_P7_H01,nonTumor
MGH45_P7_H07,nonTumor
MGH45_P7_H09,nonTumor
MGH45_P7_H10,nonTumor
MGH45_P8_A07,nonTumor
MGH45_P8_A08,nonTumor
MGH45_P8_A10,nonTumor
MGH45_P8_A12,nonTumor
MGH45_P8_B02,nonTumor
MGH45_P8_B08,nonTumor
